Designator,Footprint,Quantity,Value,LCSC Part #
MB1,MiniBadge_Full,1,MiniBadge_Full,
U1,DIP-8_L10.0-W6.5-P2.54-LS7.6-BL-A,1,AT24C02C-PUM,C8810
